title,installs_numeric,predicted_installs
Bingo Holiday: Free Bingo Games,1000000.0,3500000.0
Guardian Hunter: SuperBrawlRPG [Online],1000000.0,9340000.0
My Talking Angela,500000000.0,405000000.0
Draw Something Classic,50000000.0,21560000.0
Turbo Dismount™,50000000.0,16500000.0
Cut the Rope 2,100000000.0,46000000.0
Kick the Buddy,100000000.0,93600000.0
Dancing Ballz: Magic Dance Line Tiles Game,10000000.0,8850000.0
Infinity Loop ®,10000000.0,13560000.0
"Math Exercises for the brain, Math Riddles, Puzzle",5000000.0,2710000.0
Empires and Allies,10000000.0,13050000.0
Heroes Charge,10000000.0,12510000.0
Onnect - Pair Matching Puzzle,10000000.0,9200000.0
Solitaire,50000000.0,24880000.0
애니팡 맞고,1000000.0,6630000.0
Stack,50000000.0,29270000.0
Teen Patti by Octro - Real 3 Patti Game,50000000.0,33800000.0
4 Bilder 1 Wort,10000000.0,13460000.0
Arcane Legends MMO-Action RPG,10000000.0,11650000.0
Word Streak-Words With Friends,10000000.0,12790000.0
Slots (Golden HoYeah) - Casino Slots,10000000.0,16400000.0
Ludo All Star - Play Online Ludo Game & Board Game,10000000.0,20060000.0
World Soccer League,100000000.0,71700000.0
Masha and the Bear. Educational Games,100000000.0,22500000.0
Cookie Run: OvenBreak - Endless Running Platformer,10000000.0,31010000.0
Piano Free - Keyboard with Magic Tiles Music Games,100000000.0,36600000.0
Solitaire!,10000000.0,4110000.0
Nyan Cat: Lost In Space,10000000.0,13750000.0
BLOCK STORY,10000000.0,8910000.0
Cash Storm Casino - Free Vegas Jackpot Slots Games,1000000.0,4120000.0
Roll the Ball® - slide puzzle,100000000.0,52600000.0
Backgammon Free - Lord of the Board - Table Game,5000000.0,17980000.0
Benji Bananas Adventures,10000000.0,9940000.0
Who is? Brain Teaser & Tricky Riddles,10000000.0,35700000.0
Racing Fever: Moto,50000000.0,40260000.0
لعبة كلمة السر : الجزء الثاني,10000000.0,20100000.0
아재 능력 고사 : 아재개그와 넌센스퀴즈,1000000.0,2230000.0
4 Immagini 1 Parola,10000000.0,11920000.0
Cytus,5000000.0,12110000.0
World of Tanks Blitz PVP MMO 3D tank game for free,100000000.0,84000000.0
Gods of Olympus,1000000.0,15140000.0
SongPop 2 - Guess The Song,5000000.0,7770000.0
Narcos: Cartel Wars. Build an Empire with Strategy,10000000.0,9010000.0
Moy 2 - Virtual Pet Game,10000000.0,33250000.0
SUP Multiplayer Racing,10000000.0,21750000.0
aa,50000000.0,20300000.0
Bus Simulator : Ultimate,50000000.0,71200000.0
Winner Soccer Evolution,10000000.0,12100000.0
Beat Jumper: EDM up!,10000000.0,4630000.0
Word Search,50000000.0,10050000.0
Futurama: Worlds of Tomorrow,5000000.0,7900000.0
My Town : Bakery - Cooking & Baking Game for Kids,10000000.0,9720000.0
2048 Number puzzle game,10000000.0,55400000.0
Sudoku,10000000.0,8700000.0
Solitaire,10000000.0,4730000.0
Photo Finish Horse Racing,5000000.0,4860000.0
Traffic Rider,100000000.0,140000000.0
Word Search,10000000.0,5310000.0
Quick Hit Casino Games - Free Casino Slots Games,10000000.0,12170000.0
Cooking Diary®: Tasty Restaurant & Cafe Game,10000000.0,22600000.0
Soccer Spirits,1000000.0,7820000.0
The Battle Cats,10000000.0,14560000.0
The Secret Society - Hidden Objects Mystery,5000000.0,17970000.0
Escape the Mansion,5000000.0,11900000.0
Zombie Castaways,10000000.0,11750000.0
Quiz - Offline Games,5000000.0,3940000.0
Otogi: Spirit Agents,1000000.0,3620000.0
POP! Slots ™- Free Vegas Casino Slot Machine Games,10000000.0,14060000.0
Toca Kitchen 2,100000000.0,85600000.0
Extreme Landings,10000000.0,51800000.0
FINAL FANTASY Record Keeper,1000000.0,9390000.0
88 Fortunes Casino Games & Free Slot Machine Games,1000000.0,3730000.0
Diggy's Adventure: Mine Maze Levels & Pipe Puzzles,10000000.0,10430000.0
Belote Multiplayer,1000000.0,3430000.0
Boomerang Make and Race - Scooby-Doo Racing Game,50000000.0,29750000.0
TRIVIA STAR - Free Trivia Games Offline App,5000000.0,4650000.0
Vector,100000000.0,92500000.0
Lotto Scratch – Las Vegas,1000000.0,2280000.0
Do Not Disturb! Get Prankster in a Hilarious Game,10000000.0,11800000.0
Super Mario Run,100000000.0,69500000.0
ملكة الموضة | لعبة قصص و تمثيل,5000000.0,10520000.0
LifeAfter,10000000.0,53900000.0
Guitar Band Battle,10000000.0,10400000.0
Heroes of Camelot,5000000.0,12800000.0
Godus,10000000.0,27600000.0
Pink Piano,10000000.0,4800000.0
Mobile Soccer League,10000000.0,14750000.0
OKEY,1000000.0,7210000.0
Word Search Sea: Unscramble words,10000000.0,5910000.0
Energy: Anti Stress Loops,10000000.0,10080000.0
Archery Master 3D,100000000.0,20200000.0
Words Crush: Hidden Themes!,1000000.0,4620000.0
Unblock Me FREE,50000000.0,14470000.0
BombSquad,10000000.0,34800000.0
Golf Star™,10000000.0,11200000.0
Vainglory,10000000.0,47500000.0
Slotomania™ Slots: Casino Slot Machine Games,50000000.0,60200000.0
Spider Solitaire,10000000.0,6500000.0
Dumb Ways to Die 2: The Games,100000000.0,67100000.0
King of Avalon: Dominion,50000000.0,37500000.0
Rope Hero: Vice Town,100000000.0,86600000.0
Injustice: Gods Among Us,10000000.0,36300000.0
Fight List - Categories Game,10000000.0,13050000.0
PUBG MOBILE,10000000.0,59650000.0
Episode - Choose Your Story,100000000.0,92000000.0
Word search puzzles game,10000000.0,5880000.0
Rise of Empires: Ice and Fire,10000000.0,24860000.0
Heavy Truck Simulator,10000000.0,21500000.0
Score! Hero,100000000.0,107500000.0
Mike V: Skateboard Party,10000000.0,10500000.0
YAHTZEE® With Buddies Dice Game,10000000.0,14370000.0
High School Simulator 2018,10000000.0,26760000.0
Adventure Time: Heroes of Ooo,10000000.0,9640000.0
Loto Online,5000000.0,6410000.0
Solitaire,50000000.0,23500000.0
Doodle Jump,50000000.0,53100000.0
Top War: Battle Game,10000000.0,23860000.0
Yalla Ludo - Ludo&Domino,50000000.0,17660000.0
Nebulous.io,50000000.0,34000000.0
Bus Simulator Indonesia,50000000.0,73000000.0
كلمات كراش - لعبة تسلية وتحدي من زيتونة,10000000.0,56800000.0
Plague Inc.,100000000.0,31700000.0
Ruzzle Free,10000000.0,12530000.0
My Baby Panda Chef,10000000.0,7810000.0
Online Soccer Manager (OSM) - 20/21,10000000.0,69100000.0
Solitaire,100000000.0,63600000.0
Wordie: Guess the Word,10000000.0,16700000.0
Head Football LaLiga 2021 - Skills Soccer Games,10000000.0,22200000.0
Mad Skills Motocross 2,10000000.0,12460000.0
Solitaire,5000000.0,4100000.0
Drum Set Music Games & Drums Kit Simulator,10000000.0,10200000.0
Swamp Attack,100000000.0,42800000.0
Cookie Run: Kingdom - Kingdom Builder & Battle RPG,5000000.0,10540000.0
Moonzy. Kids Mini-Games,10000000.0,5420000.0
Solitaire TriPeaks: Play Free Solitaire Card Games,10000000.0,17200000.0
Bubble Blast 2,10000000.0,34550000.0
WWE Mayhem,10000000.0,23900000.0
Stickman Dismounting,10000000.0,14250000.0
Classic Solitaire,1000000.0,4240000.0
Angry Birds Transformers,50000000.0,37800000.0
Zombie Smasher,50000000.0,35050000.0
World Truck Driving Simulator,10000000.0,18950000.0
Texas HoldEm Poker Deluxe,10000000.0,11280000.0
Homerun Battle 2,5000000.0,5930000.0
Diamond Digger Saga,10000000.0,33800000.0
Word Crack,10000000.0,12500000.0
Rento - Dice Board Game Online,10000000.0,19750000.0
大富豪BEST,1000000.0,3840000.0
Bingo Pop: Free Live Multiplayer Bingo Board Games,10000000.0,10010000.0
Real Steel World Robot Boxing,50000000.0,36700000.0
MOTO LOKO HD,10000000.0,18200000.0
Vrai ou Faux ? Le grand Quiz,1000000.0,2750000.0
WWE Champions 2021,10000000.0,11000000.0
เก้าเกไทย,10000000.0,11400000.0
Cytus II,1000000.0,3080000.0
⚽Puppet Soccer 2014 - Big Head Football 🏆,10000000.0,12750000.0
Spades Free,5000000.0,4300000.0
Snake VS Block,50000000.0,41300000.0
Chess Free,50000000.0,14730000.0
Into the Dead,50000000.0,44100000.0
Mazes & More,50000000.0,45610000.0
Tailor Kids,10000000.0,5640000.0
Zynga Poker™ – Free Texas Holdem Online Card Games,50000000.0,43300000.0
Beat Fire - EDM Music & Gun Sounds,10000000.0,15400000.0
aquapark.io,100000000.0,85900000.0
Tebak Lagu Indonesia,1000000.0,3460000.0
Granny: Chapter Two,50000000.0,60900000.0
Airport Professions: Fascinating games,10000000.0,6720000.0
OMG! Fortune Slots - Grand Casino Games,1000000.0,2250000.0
Ninja Turtles: Legends,10000000.0,15300000.0
Hit & Knock down,10000000.0,10150000.0
Color Bump 3D,100000000.0,58310000.0
Smolsies - My Cute Pet House,10000000.0,32230000.0
DragonFlight,10000000.0,69900000.0
Blackjack 21,1000000.0,3990000.0
Escape Titanic,10000000.0,40500000.0
sameQuizy,1000000.0,3520000.0
Solitaire,50000000.0,9210000.0
Solitaire,50000000.0,12750000.0
Spider Solitaire,10000000.0,5390000.0
Domino Qiu Qiu Online:Domino 99（QQ）,1000000.0,5580000.0
Draw it,50000000.0,66700000.0
Zombie Tsunami,100000000.0,100000000.0
Pokémon Masters EX,10000000.0,12100000.0
Kelimelik,5000000.0,9440000.0
Earn to Die 2,100000000.0,56900000.0
Tap Tap Dash,50000000.0,45900000.0
Truth or Dare — Dirty Party Game for Adults 18+,10000000.0,8410000.0
Gin Rummy Plus,10000000.0,12150000.0
Jewels Switch,10000000.0,19530000.0
Sea Battle 2,10000000.0,34570000.0
Soccer Super Star,50000000.0,13110000.0
Bingo Bash featuring MONOPOLY: Live Bingo Games,10000000.0,16090000.0
WorldCraft: 3D Build & Block Craft,10000000.0,28400000.0
Word Swipe,10000000.0,1380000.0
Virtual Table Tennis 3D,10000000.0,9500000.0
Decisions－Interactive Role Playing Love Story Game,10000000.0,25780000.0
Slots: Heart of Vegas™ – Free Casino Slots Games,10000000.0,16400000.0
Grepolis - Divine Strategy MMO,5000000.0,8470000.0
Top Eleven 2021: Be a Soccer Manager,100000000.0,72100000.0
Parchisi STAR Online,50000000.0,93100000.0
Scatter Slots - Las Vegas Casino Game 777 Online,10000000.0,21250000.0
Tinker Island - Survival Story Adventure,5000000.0,10900000.0
Tentacle Wars ™,1000000.0,8330000.0
Rail Rush,50000000.0,59900000.0
Berpacu Dalam Melody Indonesia,1000000.0,3110000.0
Carrom Pool: Disc Game,100000000.0,73100000.0
Ultimate Soccer - Football,50000000.0,33500000.0
Spades Royale - Best Online Spades Card Games App,1000000.0,4700000.0
Flip Master,10000000.0,9610000.0
Snakes & Ladders King,50000000.0,24150000.0
Virtual Families 2,10000000.0,30300000.0
アイドルマスター シンデレラガールズ スターライトステージ,1000000.0,2760000.0
Dumb Ways to Die,50000000.0,17860000.0
My Town : Beauty contest - Dress Up Game for Girls,10000000.0,10260000.0
Tap Titans 2: Heroes Attack Titans. Clicker on!,10000000.0,23360000.0
Cash Frenzy™ Casino – Free Slots Games,10000000.0,9750000.0
Dead Ninja Mortal Shadow,5000000.0,7370000.0
Fishing Hook,50000000.0,46400000.0
Crazy for Speed 2,10000000.0,14660000.0
Grow Empire: Rome,10000000.0,46900000.0
FRONTLINE COMMANDO 2,10000000.0,34750000.0
Ice Age Adventures,50000000.0,32500000.0
Winning Slots casino games:free vegas slot machine,5000000.0,4230000.0
"Colors for Kids, Toddlers, Babies - Learning Game",10000000.0,9170000.0
Hole.io,100000000.0,41300000.0
3D Bowling,100000000.0,25800000.0
Numberzilla - Number Puzzle | Board Game,10000000.0,32060000.0
PixWords™,10000000.0,19460000.0
HappyFish,1000000.0,16750000.0
Okey,10000000.0,17510000.0
Archero,50000000.0,69900000.0
Mystic Messenger,5000000.0,13220000.0
LEGO® DUPLO® Train,10000000.0,7640000.0
Jigty Jigsaw Puzzles,10000000.0,13470000.0
Talking Tom Hero Dash - Run Game,100000000.0,72100000.0
The Walking Dead No Man's Land,10000000.0,16450000.0
Spider Solitaire,10000000.0,5530000.0
BanG Dream! Girls Band Party!,1000000.0,5140000.0
三國殺名將傳,,4950000.0
Wrestling Revolution 3D,50000000.0,45700000.0
Free Trivia Game. Questions & Answers. QuizzLand.,10000000.0,20250000.0
Ludo King™,500000000.0,152000000.0
Dummy & Toon Poker Texas slot Online Card Game,5000000.0,9650000.0
ARK: Survival Evolved,10000000.0,60900000.0
Truco ZingPlay: Jogo de cartas online grátis,1000000.0,8730000.0
Drift هجولة,10000000.0,75350000.0
Badminton League,50000000.0,49000000.0
Grim Soul: Dark Fantasy Survival,10000000.0,12770000.0
Chess Royale: Play and Learn Free Online,5000000.0,7340000.0
Merge Dragons!,10000000.0,31500000.0
Disney Magic Kingdoms: Build Your Own Magical Park,50000000.0,33100000.0
Solitaire,10000000.0,5420000.0
1010! Block Puzzle Game,10000000.0,11300000.0
Moy - Virtual Pet Game,10000000.0,17570000.0
Animal Jam,10000000.0,17220000.0
Wheel of Fortune: Free Play,10000000.0,10860000.0
Solitaire Classic,5000000.0,4460000.0
Truco Blyts,10000000.0,10310000.0
Solitaire,10000000.0,9530000.0
ดัมมี่ไทยแลนด์-รวมไพ่แคง เก้าเก ไฮโล เกมไพ่ฟรี,1000000.0,3860000.0
Hidden Hotel: Miami Mystery,10000000.0,13140000.0
Hop Ball 3D: Dancing Ball on the Music Tiles,50000000.0,13910000.0
Free Slot Machines with Bonus Games!,5000000.0,2410000.0
Hardest Girl to Get - Kode Keras Cowok dari Cewek,1000000.0,5130000.0
Найди слова,10000000.0,10410000.0
Slots: VIP Deluxe Slot Machines Free - Vegas Slots,5000000.0,2780000.0
PES CLUB MANAGER,10000000.0,16900000.0
Nobodies: Murder Cleaner,5000000.0,3790000.0
Gacha Life,50000000.0,14260000.0
Lep's World,100000000.0,64500000.0
Alphabet Game,5000000.0,1570000.0
Duet,10000000.0,9100000.0
Stickman Soccer 2014,10000000.0,13570000.0
Quiz World: Play and Win Everyday!,1000000.0,7440000.0
Mr Bullet - Spy Puzzles,100000000.0,66900000.0
Lotsa Slots - Free Vegas Casino Slot Machines,10000000.0,7390000.0
Brain Test: Tricky Puzzles,100000000.0,56300000.0
فطحل العرب - لعبة معلومات عامة,5000000.0,8090000.0
Stickman Party: 1 2 3 4 Player Games Free,100000000.0,59050000.0
Deck Heroes: Legacy,10000000.0,20100000.0
Eternium,10000000.0,47900000.0
Fleet Battle - Sea Battle,10000000.0,3360000.0
Dawn of Titans: War Strategy RPG,5000000.0,11600000.0
Princess Coloring Game,10000000.0,10000000.0
Indian Train Simulator,10000000.0,20000000.0
LINE 旅遊大亨,5000000.0,18670000.0
The Sims FreePlay,100000000.0,179500000.0
Flags of All Countries of the World: Guess-Quiz,5000000.0,1590000.0
Ludo Talent- Online Ludo&Chatroom,10000000.0,17750000.0
Shakes and Fidget,5000000.0,24340000.0
Street Chaser,50000000.0,36480000.0
Little Panda: Princess Dress Up,10000000.0,9630000.0
Coin Dozer: Sweepstakes,50000000.0,39500000.0
Durak Online,10000000.0,24150000.0
몬스터 길들이기,10000000.0,49900000.0
Slots Free - Big Win Casino™,5000000.0,3670000.0
인생역전윷놀이,1000000.0,18720000.0
My Talking Tom Friends,100000000.0,80100000.0
Solitaire,10000000.0,8440000.0
Piano Music Go 2020: EDM Piano Games,50000000.0,22860000.0
Wood Block Puzzle,50000000.0,20250000.0
Battle Camp - Monster Catching,10000000.0,18900000.0
Solitaire - Make Free Money & Play the Card Game,1000000.0,3630000.0
Truck Simulator USA - Evolution,10000000.0,17150000.0
Survival Island: EVO 2,10000000.0,18500000.0
Crash of Cars,10000000.0,25550000.0
Roller Skating Girls - Dance on Wheels,10000000.0,15160000.0
Guess Their Answer,5000000.0,7510000.0
Island Experiment,10000000.0,19460000.0
Don't get fired!,5000000.0,23500000.0
Piano Kids - Music & Songs,100000000.0,33750000.0
Baby Panda’s Ice Cream Shop,50000000.0,23860000.0
Dinos Online,5000000.0,9460000.0
Banana Kong,100000000.0,64400000.0
Sonic Dash 2: Sonic Boom,100000000.0,60600000.0
Block Puzzle Jewel,100000000.0,85500000.0
Bubble Witch 2 Saga,100000000.0,45300000.0
BitLife - Life Simulator,10000000.0,12850000.0
Fun Big 2,1000000.0,1850000.0
Head Soccer,50000000.0,19200000.0
Pyramid Solitaire Saga,10000000.0,24000000.0
Design Home: House Renovation,50000000.0,60300000.0
Mahjong Master,10000000.0,4150000.0
Prison Escape Puzzle: Adventure,10000000.0,16840000.0
BTS WORLD,10000000.0,25180000.0
Math Games,10000000.0,6500000.0
Castle Clash: Dominio del Reino,5000000.0,15150000.0
Brain It On! - Physics Puzzles,50000000.0,15200000.0
Bubble Shooter,100000000.0,97000000.0
Flags and Capitals of the World Quiz,1000000.0,2940000.0
كلمات متقاطعة من زيتونة - رشفة وصلة,1000000.0,4390000.0
Dragons World,10000000.0,11500000.0
Word Surf - Word Game,5000000.0,4550000.0
Rescue Cut - Rope Puzzle,100000000.0,46760000.0
Solitaire,5000000.0,6460000.0
Robbery Bob - Sneaky Adventures,100000000.0,87300000.0
Block! Hexa Puzzle™,50000000.0,30800000.0
Redline Rush: Police Chase Racing,10000000.0,12370000.0
Casino Jackpot Slots - Infinity Slots™ 777 Game,1000000.0,7900000.0
Zombie Catchers - love the hunt!,100000000.0,90500000.0
Roblox,100000000.0,240000000.0
Run,10000000.0,13210000.0
Time Princess,5000000.0,7850000.0
Pokémon GO,100000000.0,410000000.0
Real City Car Driver,50000000.0,17600000.0
